timestamp,image,latitude,longitude
20250529_162139,intrusion_20250529_162139.jpg,-7.6298,111.5239
20250529_162208,intrusion_20250529_162208.jpg,-7.6298,111.5239
20250529_162223,intrusion_20250529_162223.jpg,-7.6298,111.5239
20250529_162226,intrusion_20250529_162226.jpg,-7.6298,111.5239
20250529_162236,intrusion_20250529_162236.jpg,-7.6298,111.5239
20250529_162237,intrusion_20250529_162237.jpg,-7.6298,111.5239
20250529_162443,intrusion_20250529_162443.jpg,,
20250529_162449,intrusion_20250529_162449.jpg,-7.6298,111.5239
20250529_163621,intrusion_20250529_163621.jpg,-7.6298,111.5239
20250529_181159,intrusion_20250529_181159.jpg,-7.6298,111.5239
20250529_181202,intrusion_20250529_181202.jpg,-7.6298,111.5239
20250529_181204,intrusion_20250529_181204.jpg,-7.6298,111.5239
